[2026-03-19 17:43:34] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-19 17:54:21] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-19 18:17:32] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-19 18:24:47] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-19 18:26:07] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 18:57:47] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 18:59:27] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 19:09:10] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 19:10:38] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 20:11:02] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 20:12:05] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 20:18:34] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 20:43:35] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 20:44:34] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 21:09:11] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 21:10:39] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 21:21:16] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-21 21:22:18] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-22 20:16:01] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
[2026-03-22 20:17:48] [INFO] [models.threat.threat_model] ThreatScorer initialized: proximity_weight=0.45, speed_weight=0.35, class_weight=0.2
