=== PER FRAME DETECTION RESULTS ===
frame_idx,fps,latency_ms,num_objects,track_id,class_name,threat_score,threat_level,speed_mps,proximity_m
82,4.53,294.61,1,6,harbor,0.0189,LOW,0.0,494.36
83,4.43,370.19,1,6,harbor,0.026,LOW,4.78,495.2
84,4.34,341.93,1,6,harbor,0.028,LOW,5.8,494.57
85,4.27,326.32,1,6,harbor,0.0274,LOW,5.43,494.55
86,4.22,350.01,1,6,harbor,0.0286,LOW,5.99,493.69
87,4.16,333.91,1,6,harbor,0.028,LOW,5.73,494.47
88,4.12,290.48,1,6,harbor,0.0286,LOW,6.14,495.22
89,4.1,233.5,1,6,harbor,0.0284,LOW,6.07,495.29
90,4.09,224.25,1,6,harbor,0.0283,LOW,6.02,495.37
91,4.08,220.97,1,6,harbor,0.0282,LOW,5.97,495.44
92,4.06,235.87,1,6,harbor,0.0281,LOW,5.94,495.51
93,4.05,219.29,1,6,harbor,0.028,LOW,5.91,495.58
94,4.02,255.89,1,6,harbor,0.028,LOW,5.89,495.65
95,3.9,433.95,1,6,harbor,0.0279,LOW,5.87,495.72
96,3.89,216.84,1,6,harbor,0.0279,LOW,5.85,495.79
97,3.88,229.03,1,6,harbor,0.0278,LOW,5.84,495.86
98,3.86,260.18,1,6,harbor,0.0278,LOW,5.83,495.93
99,3.84,224.35,1,6,harbor,0.0277,LOW,5.81,496.0
100,3.82,241.88,1,6,harbor,0.0277,LOW,5.8,496.07
101,3.79,243.75,1,6,harbor,0.0277,LOW,5.8,496.13
102,3.78,227.75,1,6,harbor,0.0276,LOW,5.79,496.2
103,3.74,298.66,1,6,harbor,0.0276,LOW,5.78,496.27
104,3.67,346.1,1,6,harbor,0.0276,LOW,5.77,496.33
105,3.55,486.62,1,6,harbor,0.0276,LOW,5.77,496.4
106,3.51,305.35,1,6,harbor,0.0275,LOW,5.76,496.46
107,3.53,222.89,1,6,harbor,0.0275,LOW,5.76,496.52
108,3.5,289.15,1,6,harbor,0.0275,LOW,5.75,496.59
109,3.54,226.12,1,6,harbor,0.0275,LOW,5.75,496.65
110,3.56,208.0,1,6,harbor,0.0274,LOW,5.74,496.71
111,3.52,354.75,1,6,harbor,0.0274,LOW,5.74,496.77
112,3.55,227.83,1,6,harbor,0.0274,LOW,5.77,496.83
113,3.61,225.46,1,6,harbor,0.0274,LOW,5.73,496.89
114,3.63,298.22,1,6,harbor,0.0274,LOW,5.76,496.95
115,3.65,294.37,1,6,harbor,0.0273,LOW,5.69,497.01
116,3.66,314.48,2,6,harbor,0.0273,LOW,5.72,497.07
116,3.66,314.48,2,13,harbor,0.0183,LOW,0.0,498.09
117,3.7,244.33,2,6,harbor,0.0271,LOW,5.64,497.13
117,3.7,244.33,2,13,harbor,0.0238,LOW,3.84,497.97
118,3.73,242.15,2,6,harbor,0.0271,LOW,5.64,497.18
118,3.73,242.15,2,13,harbor,0.0239,LOW,3.84,497.85
119,3.67,356.51,1,13,harbor,0.0297,LOW,7.07,497.94
120,3.58,419.44,1,13,harbor,0.0309,LOW,7.59,497.53
121,3.53,361.23,1,13,harbor,0.0309,LOW,7.61,497.47
122,3.5,294.68,1,13,harbor,0.0308,LOW,7.58,497.62
123,3.47,303.44,1,13,harbor,0.0306,LOW,7.47,497.47
124,3.44,314.2,1,13,harbor,0.0301,LOW,7.21,497.39
125,3.47,356.93,1,13,harbor,0.0294,LOW,6.9,497.55
126,3.43,333.16,1,13,harbor,0.0294,LOW,6.9,497.74
127,3.4,311.74,1,13,harbor,0.0298,LOW,7.05,497.45
128,3.37,327.78,1,13,harbor,0.0303,LOW,7.22,496.97
129,3.34,302.2,1,13,harbor,0.0302,LOW,7.2,496.99
130,3.31,318.15,1,13,harbor,0.0301,LOW,7.16,497.21
131,3.29,302.75,1,13,harbor,0.03,LOW,7.1,497.06
132,3.26,316.74,1,13,harbor,0.0301,LOW,7.13,496.85
133,3.26,293.4,1,13,harbor,0.0296,LOW,6.9,497.11
134,3.27,321.11,1,13,harbor,0.0299,LOW,7.01,496.88
135,3.29,419.8,1,13,harbor,0.0304,LOW,7.22,496.26
136,3.29,313.7,1,13,harbor,0.0301,LOW,7.1,496.61
137,3.25,333.61,1,13,harbor,0.0304,LOW,7.15,496.01
138,3.25,293.79,1,13,harbor,0.03,LOW,7.07,496.58
139,3.22,325.24,1,13,harbor,0.03,LOW,7.04,496.52
140,3.18,298.86,1,13,harbor,0.0298,LOW,6.97,496.69
141,3.2,296.46,1,13,harbor,0.0297,LOW,6.89,496.67
142,3.16,362.5,1,13,harbor,0.0297,LOW,6.94,496.73
143,3.11,389.65,1,13,harbor,0.0297,LOW,6.92,496.65
144,3.06,449.98,1,13,harbor,0.0297,LOW,6.9,496.45
145,3.06,279.18,1,13,harbor,0.0297,LOW,6.89,496.4
146,3.07,296.72,1,13,harbor,0.0299,LOW,6.99,496.34
147,3.07,223.67,1,13,harbor,0.0302,LOW,7.08,496.29
148,3.06,272.61,1,13,harbor,0.0297,LOW,6.85,496.23
149,3.07,326.05,1,13,harbor,0.0297,LOW,6.89,496.47
150,3.11,311.17,1,13,harbor,0.0296,LOW,6.85,496.47
151,3.12,333.86,1,13,harbor,0.0297,LOW,6.88,496.43
152,3.11,325.83,1,13,harbor,0.0297,LOW,6.88,496.41
153,3.09,351.23,1,13,harbor,0.0298,LOW,6.91,496.51
154,3.11,268.35,1,13,harbor,0.0299,LOW,7.0,496.49
155,2.91,994.58,1,13,harbor,0.03,LOW,7.03,496.34
156,2.91,363.17,1,13,harbor,0.0299,LOW,6.98,496.29
157,2.93,234.82,1,13,harbor,0.0298,LOW,6.91,496.25
158,2.95,252.47,1,13,harbor,0.0298,LOW,6.91,496.21
159,2.94,319.42,1,13,harbor,0.0299,LOW,6.93,496.17
160,2.94,320.95,1,13,harbor,0.0298,LOW,6.95,496.65
161,2.95,264.12,1,13,harbor,0.0297,LOW,6.93,496.66
162,2.95,333.12,1,13,harbor,0.0303,LOW,7.14,496.3
163,2.94,335.88,1,13,harbor,0.0301,LOW,7.08,496.35
164,2.96,247.37,1,13,harbor,0.0299,LOW,6.95,496.32
165,3.01,261.07,1,13,harbor,0.0301,LOW,7.04,496.3
166,3.01,285.2,1,13,harbor,0.03,LOW,7.01,496.27
167,3.04,238.81,1,13,harbor,0.0301,LOW,7.07,496.24
168,3.06,248.51,1,13,harbor,0.0302,LOW,7.1,496.21
169,3.05,343.39,1,13,harbor,0.0304,LOW,7.2,496.13
